":START_ID",":END_ID","unique_key",":TYPE"
"pub_conf/rlc/OertellCZB024","edition_rlc_2024","pub_conf/rlc/OertellCZB024_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/HussingMSKE24","edition_rlc_2024","pub_conf/rlc/HussingMSKE24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/LuARV24","edition_rlc_2024","pub_conf/rlc/LuARV24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/AdamczykMTK24","edition_rlc_2024","pub_conf/rlc/AdamczykMTK24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/AckermannOS24","edition_rlc_2024","pub_conf/rlc/AckermannOS24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/JarnefeltKD24","edition_rlc_2024","pub_conf/rlc/JarnefeltKD24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/RafailovHSKSKHK24","edition_rlc_2024","pub_conf/rlc/RafailovHSKSKHK24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/HugessenCMB24","edition_rlc_2024","pub_conf/rlc/HugessenCMB24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/AmirNL24","edition_rlc_2024","pub_conf/rlc/AmirNL24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/VasanWSBJM24","edition_rlc_2024","pub_conf/rlc/VasanWSBJM24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/CorradoQBLH24","edition_rlc_2024","pub_conf/rlc/CorradoQBLH24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/BedaywiRF24","edition_rlc_2024","pub_conf/rlc/BedaywiRF24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/McInroeJAS24","edition_rlc_2024","pub_conf/rlc/McInroeJAS24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/KalraB24","edition_rlc_2024","pub_conf/rlc/KalraB24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/MorimuraOAZ24","edition_rlc_2024","pub_conf/rlc/MorimuraOAZ24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/ZhaoW24","edition_rlc_2024","pub_conf/rlc/ZhaoW24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/HuZZZYX024","edition_rlc_2024","pub_conf/rlc/HuZZZYX024_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/Karamzade0KF24","edition_rlc_2024","pub_conf/rlc/Karamzade0KF24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/ZhangPSSWY24","edition_rlc_2024","pub_conf/rlc/ZhangPSSWY24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/YaoPDE24","edition_rlc_2024","pub_conf/rlc/YaoPDE24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/HussingVGFE24","edition_rlc_2024","pub_conf/rlc/HussingVGFE24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/MadhavanM0B24","edition_rlc_2024","pub_conf/rlc/MadhavanM0B24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/WuHDMRA24","edition_rlc_2024","pub_conf/rlc/WuHDMRA24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/AvalosBNRO24","edition_rlc_2024","pub_conf/rlc/AvalosBNRO24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/KoyamadaNI24","edition_rlc_2024","pub_conf/rlc/KoyamadaNI24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/LiH0GP24","edition_rlc_2024","pub_conf/rlc/LiH0GP24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/ZamboniCRM24","edition_rlc_2024","pub_conf/rlc/ZamboniCRM24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/LambrechtsBE24","edition_rlc_2024","pub_conf/rlc/LambrechtsBE24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/DaleyMW24","edition_rlc_2024","pub_conf/rlc/DaleyMW24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/GolowichM24","edition_rlc_2024","pub_conf/rlc/GolowichM24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/SuauSO24","edition_rlc_2024","pub_conf/rlc/SuauSO24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/ChenTTLLTZ24","edition_rlc_2024","pub_conf/rlc/ChenTTLLTZ24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/LanMYX24","edition_rlc_2024","pub_conf/rlc/LanMYX24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/ChoudharyGT24","edition_rlc_2024","pub_conf/rlc/ChoudharyGT24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/AbelHH24","edition_rlc_2024","pub_conf/rlc/AbelHH24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/PattersonNKW024","edition_rlc_2024","pub_conf/rlc/PattersonNKW024_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/DelfosseBGSK24","edition_rlc_2024","pub_conf/rlc/DelfosseBGSK24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/WangWLKT024","edition_rlc_2024","pub_conf/rlc/WangWLKT024_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/CorsiCF24","edition_rlc_2024","pub_conf/rlc/CorsiCF24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/ChitnisYG24","edition_rlc_2024","pub_conf/rlc/ChitnisYG24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/RentingMHJ24","edition_rlc_2024","pub_conf/rlc/RentingMHJ24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/OmuraOMH24","edition_rlc_2024","pub_conf/rlc/OmuraOMH24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/ZhangGSLC24","edition_rlc_2024","pub_conf/rlc/ZhangGSLC24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/LobelP24","edition_rlc_2024","pub_conf/rlc/LobelP24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/RudolphCBLN024","edition_rlc_2024","pub_conf/rlc/RudolphCBLN024_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/Dizon-ParadisWC24","edition_rlc_2024","pub_conf/rlc/Dizon-ParadisWC24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/ZhangW024","edition_rlc_2024","pub_conf/rlc/ZhangW024_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/0002024","edition_rlc_2024","pub_conf/rlc/0002024_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/WuA24","edition_rlc_2024","pub_conf/rlc/WuA24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/RaffinSKASS24","edition_rlc_2024","pub_conf/rlc/RaffinSKASS24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/MelcerAT24","edition_rlc_2024","pub_conf/rlc/MelcerAT24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/rlc/JacksonMLEWF24","edition_rlc_2024","pub_conf/rlc/JacksonMLEWF24_edition_rlc_2024","PUBLISHED_IN"
"pub_conf/www/CibranVVSJ07","edition_www_2007","pub_conf/www/CibranVVSJ07_edition_www_2007","PUBLISHED_IN"
"pub_conf/www/RamamohanaraoF07","edition_www_2007","pub_conf/www/RamamohanaraoF07_edition_www_2007","PUBLISHED_IN"
"pub_conf/www/MartinBMMPSMSS07","edition_www_2007","pub_conf/www/MartinBMMPSMSS07_edition_www_2007","PUBLISHED_IN"
"pub_conf/www/LimWPVA07","edition_www_2007","pub_conf/www/LimWPVA07_edition_www_2007","PUBLISHED_IN"
"pub_conf/www/GeorgakopoulosBNC07","edition_www_2007","pub_conf/www/GeorgakopoulosBNC07_edition_www_2007","PUBLISHED_IN"
"pub_conf/www/HeMLYW07","edition_www_2007","pub_conf/www/HeMLYW07_edition_www_2007","PUBLISHED_IN"
"pub_conf/www/ZhaiL07","edition_www_2007","pub_conf/www/ZhaiL07_edition_www_2007","PUBLISHED_IN"
"pub_conf/www/BeszteriV07","edition_www_2007","pub_conf/www/BeszteriV07_edition_www_2007","PUBLISHED_IN"
"pub_conf/www/VadrevuGD07","edition_www_2007","pub_conf/www/VadrevuGD07_edition_www_2007","PUBLISHED_IN"
"pub_conf/www/MenasceA07","edition_www_2007","pub_conf/www/MenasceA07_edition_www_2007","PUBLISHED_IN"
"pub_conf/www/CharfiM07","edition_www_2007","pub_conf/www/CharfiM07_edition_www_2007","PUBLISHED_IN"
"pub_conf/www/NguKN07","edition_www_2007","pub_conf/www/NguKN07_edition_www_2007","PUBLISHED_IN"
"pub_conf/www/Ericsson07","edition_www_2007","pub_conf/www/Ericsson07_edition_www_2007","PUBLISHED_IN"
"pub_conf/www/Martin-FlatinL07","edition_www_2007","pub_conf/www/Martin-FlatinL07_edition_www_2007","PUBLISHED_IN"
"pub_conf/mobiquitous/AlamPR15","edition_mobiquitous_2015","pub_conf/mobiquitous/AlamPR15_edition_mobiquitous_2015","PUBLISHED_IN"
"pub_journals/coap/Kozanidis09","journal_coap","pub_journals/coap/Kozanidis09_journal_coap","PUBLISHED_IN"
"pub_journals/isf/DemirkanS16","journal_isf","pub_journals/isf/DemirkanS16_journal_isf","PUBLISHED_IN"
"pub_journals/sigir/ClarkeCP98","journal_sigir","pub_journals/sigir/ClarkeCP98_journal_sigir","PUBLISHED_IN"
"pub_journals/tnn/ChowH05","journal_tnn","pub_journals/tnn/ChowH05_journal_tnn","PUBLISHED_IN"
"pub_journals/tnn/WangHYWZNBC23","journal_tnn","pub_journals/tnn/WangHYWZNBC23_journal_tnn","PUBLISHED_IN"
"pub_journals/tnn/JingXHD24","journal_tnn","pub_journals/tnn/JingXHD24_journal_tnn","PUBLISHED_IN"
"pub_journals/oir/Preez14a","journal_oir","pub_journals/oir/Preez14a_journal_oir","PUBLISHED_IN"
"pub_journals/ojcs/Popovski24","journal_ojcs","pub_journals/ojcs/Popovski24_journal_ojcs","PUBLISHED_IN"
"pub_journals/taslp/YuCMS05","journal_taslp","pub_journals/taslp/YuCMS05_journal_taslp","PUBLISHED_IN"
"pub_journals/ejasp/WuWLL12","journal_ejasp","pub_journals/ejasp/WuWLL12_journal_ejasp","PUBLISHED_IN"
"pub_journals/tmc/AfifiAKM18","journal_tmc","pub_journals/tmc/AfifiAKM18_journal_tmc","PUBLISHED_IN"
"pub_journals/remotesensing/ZhuoHLZMGHXX19","journal_remotesensing","pub_journals/remotesensing/ZhuoHLZMGHXX19_journal_remotesensing","PUBLISHED_IN"
"pub_journals/remotesensing/BianchiniHMNGMM13","journal_remotesensing","pub_journals/remotesensing/BianchiniHMNGMM13_journal_remotesensing","PUBLISHED_IN"
"pub_journals/remotesensing/InnocentiRTPGMSBPC23","journal_remotesensing","pub_journals/remotesensing/InnocentiRTPGMSBPC23_journal_remotesensing","PUBLISHED_IN"
"pub_journals/remotesensing/DomazetovicSMP22","journal_remotesensing","pub_journals/remotesensing/DomazetovicSMP22_journal_remotesensing","PUBLISHED_IN"
"pub_journals/jcisd/AndrianovOSK21","journal_jcisd","pub_journals/jcisd/AndrianovOSK21_journal_jcisd","PUBLISHED_IN"
"pub_journals/jcisd/FiedlerFWK22","journal_jcisd","pub_journals/jcisd/FiedlerFWK22_journal_jcisd","PUBLISHED_IN"
"pub_journals/kbs/HuDWW22","journal_kbs","pub_journals/kbs/HuDWW22_journal_kbs","PUBLISHED_IN"
"pub_journals/kbs/MaTZC17","journal_kbs","pub_journals/kbs/MaTZC17_journal_kbs","PUBLISHED_IN"
"pub_journals/kbs/WeiXYW14","journal_kbs","pub_journals/kbs/WeiXYW14_journal_kbs","PUBLISHED_IN"
"pub_journals/cphysics/ShiGY25","journal_cphysics","pub_journals/cphysics/ShiGY25_journal_cphysics","PUBLISHED_IN"
"pub_journals/jfi/PandiselviRZR18","journal_jfi","pub_journals/jfi/PandiselviRZR18_journal_jfi","PUBLISHED_IN"
"pub_journals/sigapl/Bergquist93","journal_sigapl","pub_journals/sigapl/Bergquist93_journal_sigapl","PUBLISHED_IN"
"pub_journals/jss/BassNWZO08","journal_jss","pub_journals/jss/BassNWZO08_journal_jss","PUBLISHED_IN"
"pub_journals/jilt/MahargN14a","journal_jilt","pub_journals/jilt/MahargN14a_journal_jilt","PUBLISHED_IN"
"pub_journals/ijisec/AlzahraniFAAA23","journal_ijisec","pub_journals/ijisec/AlzahraniFAAA23_journal_ijisec","PUBLISHED_IN"
"pub_journals/ijisec/Pericas-Gornals22","journal_ijisec","pub_journals/ijisec/Pericas-Gornals22_journal_ijisec","PUBLISHED_IN"
"pub_journals/npjdm/ZhaoWBCHLPABWC20","journal_npjdm","pub_journals/npjdm/ZhaoWBCHLPABWC20_journal_npjdm","PUBLISHED_IN"
"pub_journals/tip/SongHQD23","journal_tip","pub_journals/tip/SongHQD23_journal_tip","PUBLISHED_IN"
"pub_journals/computers/SanchezALM24","journal_computers","pub_journals/computers/SanchezALM24_journal_computers","PUBLISHED_IN"
"pub_journals/ar/KangZ20","journal_ar","pub_journals/ar/KangZ20_journal_ar","PUBLISHED_IN"
"pub_journals/urbaninformatics/Li0GZB22","journal_urbaninformatics","pub_journals/urbaninformatics/Li0GZB22_journal_urbaninformatics","PUBLISHED_IN"
"pub_journals/csur/SchuerkampG24","journal_csur","pub_journals/csur/SchuerkampG24_journal_csur","PUBLISHED_IN"
"pub_journals/wicomm/ZhouFXL12","journal_wicomm","pub_journals/wicomm/ZhouFXL12_journal_wicomm","PUBLISHED_IN"
"pub_journals/orgsci/SomayaM12","journal_orgsci","pub_journals/orgsci/SomayaM12_journal_orgsci","PUBLISHED_IN"
"pub_journals/jmis/LeeK06","journal_jmis","pub_journals/jmis/LeeK06_journal_jmis","PUBLISHED_IN"
"pub_journals/prl/WangXLCC24","journal_prl","pub_journals/prl/WangXLCC24_journal_prl","PUBLISHED_IN"
"pub_journals/prl/LiangZBY24","journal_prl","pub_journals/prl/LiangZBY24_journal_prl","PUBLISHED_IN"
"pub_journals/ijcisys/YuQY24","journal_ijcisys","pub_journals/ijcisys/YuQY24_journal_ijcisys","PUBLISHED_IN"
"pub_journals/ijcisys/ZhangJZY23","journal_ijcisys","pub_journals/ijcisys/ZhangJZY23_journal_ijcisys","PUBLISHED_IN"
"pub_journals/scp/SouquieresF85","journal_scp","pub_journals/scp/SouquieresF85_journal_scp","PUBLISHED_IN"
"pub_journals/iepol/LoomisS05","journal_iepol","pub_journals/iepol/LoomisS05_journal_iepol","PUBLISHED_IN"
