":START_ID",":END_ID","is_corresponding:boolean",":TYPE"
"author_Joo_Guilherme_Madeira_Arajo","conf/rlc/Obando-CeronACC24","False","WRITE"
"author_Aaron_C._Courville","conf/rlc/Obando-CeronACC24","False","WRITE"
"author_Pablo_Samuel_Castro","conf/rlc/Obando-CeronACC24","False","WRITE"
"author_Miguel_Vasco","conf/rlc/VascoSKSWS24","True","WRITE"
"author_Takuma_Seno","conf/rlc/VascoSKSWS24","False","WRITE"
"author_Kenta_Kawamoto","conf/rlc/VascoSKSWS24","False","WRITE"
"author_Kaushik_Subramanian","conf/rlc/VascoSKSWS24","False","WRITE"
"author_Peter_R._Wurman","conf/rlc/VascoSKSWS24","False","WRITE"
"author_Peter_Stone_0001","conf/rlc/VascoSKSWS24","False","WRITE"
"author_Benjamin_Freed","conf/rlc/FreedWC0C24","True","WRITE"
"author_Thomas_Wei","conf/rlc/FreedWC0C24","False","WRITE"
"author_Roberto_Calandra","conf/rlc/FreedWC0C24","False","WRITE"
"author_Jeff_Schneider_0001","conf/rlc/FreedWC0C24","False","WRITE"
"author_Howie_Choset","conf/rlc/FreedWC0C24","False","WRITE"
"author_Matteo_Papini","conf/rlc/PapiniMMR24","True","WRITE"
"author_Giorgio_Manganini","conf/rlc/PapiniMMR24","False","WRITE"
"author_Alberto_Maria_Metelli","conf/rlc/PapiniMMR24","False","WRITE"
"author_Marcello_Restelli","conf/rlc/PapiniMMR24","False","WRITE"
"author_Robert_J._Moss","conf/rlc/Moss0CK24","True","WRITE"
"author_Anthony_Corso_0001","conf/rlc/Moss0CK24","False","WRITE"
"author_Jef_Caers","conf/rlc/Moss0CK24","False","WRITE"
"author_Mykel_J._Kochenderfer","conf/rlc/Moss0CK24","False","WRITE"
"author_Jan_de_Priester","conf/rlc/PriesterBGS24","True","WRITE"
"author_Zachary_I._Bell","conf/rlc/PriesterBGS24","False","WRITE"
"author_Prashant_Ganesh","conf/rlc/PriesterBGS24","False","WRITE"
"author_Ricardo_G._Sanfelice","conf/rlc/PriesterBGS24","False","WRITE"
"author_Allan_Zhou","conf/rlc/ZhouKFR24","True","WRITE"
"author_Vikash_Kumar","conf/rlc/ZhouKFR24","False","WRITE"
"author_Chelsea_Finn","conf/rlc/ZhouKFR24","False","WRITE"
"author_Aravind_Rajeswaran","conf/rlc/ZhouKFR24","False","WRITE"
"author_Owen_Oertell","conf/rlc/OertellCZB024","True","WRITE"
"author_Jonathan_D._Chang","conf/rlc/OertellCZB024","False","WRITE"
"author_Yiyi_Zhang","conf/rlc/OertellCZB024","False","WRITE"
"author_Kiant_Brantley","conf/rlc/OertellCZB024","False","WRITE"
"author_Wen_Sun_0002","conf/rlc/OertellCZB024","False","WRITE"
"author_Marcel_Hussing","conf/rlc/HussingMSKE24","True","WRITE"
"author_Jorge_A._Mendez","conf/rlc/HussingMSKE24","False","WRITE"
"author_Anisha_Singrodia","conf/rlc/HussingMSKE24","False","WRITE"
"author_Cassandra_Kent","conf/rlc/HussingMSKE24","False","WRITE"
"author_Eric_Eaton","conf/rlc/HussingMSKE24","False","WRITE"
"author_Michael_Lu","conf/rlc/LuARV24","True","WRITE"
"author_Matin_Aghaei","conf/rlc/LuARV24","False","WRITE"
"author_Anant_Raj","conf/rlc/LuARV24","False","WRITE"
"author_Sharan_Vaswani","conf/rlc/LuARV24","False","WRITE"
"author_Jacob_Adamczyk","conf/rlc/AdamczykMTK24","True","WRITE"
"author_Volodymyr_Makarenko","conf/rlc/AdamczykMTK24","False","WRITE"
"author_Stas_Tiomkin","conf/rlc/AdamczykMTK24","False","WRITE"
"author_Rahul_V._Kulkarni","conf/rlc/AdamczykMTK24","False","WRITE"
"author_Johannes_Ackermann","conf/rlc/AckermannOS24","True","WRITE"
"author_Takayuki_Osa","conf/rlc/AckermannOS24","False","WRITE"
"author_Masashi_Sugiyama","conf/rlc/AckermannOS24","False","WRITE"
"author_Oliver_Jrnefelt","conf/rlc/JarnefeltKD24","True","WRITE"
"author_Mahdi_Kallel","conf/rlc/JarnefeltKD24","False","WRITE"
"author_Carlo_D'Eramo","conf/rlc/JarnefeltKD24","False","WRITE"
"author_Rafael_Rafailov","conf/rlc/RafailovHSKSKHK24","True","WRITE"
"author_Kyle_Beltran_Hatch","conf/rlc/RafailovHSKSKHK24","False","WRITE"
"author_Anikait_Singh","conf/rlc/RafailovHSKSKHK24","False","WRITE"
"author_Aviral_Kumar","conf/rlc/RafailovHSKSKHK24","False","WRITE"
"author_Laura_M._Smith","conf/rlc/RafailovHSKSKHK24","False","WRITE"
"author_Ilya_Kostrikov","conf/rlc/RafailovHSKSKHK24","False","WRITE"
"author_Philippe_Hansen-Estruch","conf/rlc/RafailovHSKSKHK24","False","WRITE"
"author_Victor_Kolev","conf/rlc/RafailovHSKSKHK24","False","WRITE"
"author_Philip_J._Ball","conf/rlc/RafailovHSKSKHK24","False","WRITE"
"author_Jiajun_Wu_0001","conf/rlc/RafailovHSKSKHK24","False","WRITE"
"author_Sergey_Levine","conf/rlc/RafailovHSKSKHK24","False","WRITE"
"author_Chelsea_Finn","conf/rlc/RafailovHSKSKHK24","False","WRITE"
"author_Adriana_Hugessen","conf/rlc/HugessenCMB24","True","WRITE"
"author_Roger_Creus_Castanyer","conf/rlc/HugessenCMB24","False","WRITE"
"author_Faisal_Mohamed","conf/rlc/HugessenCMB24","False","WRITE"
"author_Glen_Berseth","conf/rlc/HugessenCMB24","False","WRITE"
"author_Nadav_Amir","conf/rlc/AmirNL24","True","WRITE"
"author_Yael_Niv","conf/rlc/AmirNL24","False","WRITE"
"author_Angela_Langdon","conf/rlc/AmirNL24","False","WRITE"
"author_Gautham_Vasan","conf/rlc/VasanWSBJM24","True","WRITE"
"author_Yan_Wang","conf/rlc/VasanWSBJM24","False","WRITE"
"author_Fahim_Shahriar","conf/rlc/VasanWSBJM24","False","WRITE"
"author_James_Bergstra","conf/rlc/VasanWSBJM24","False","WRITE"
"author_Martin_Jgersand","conf/rlc/VasanWSBJM24","False","WRITE"
"author_A._Rupam_Mahmood","conf/rlc/VasanWSBJM24","False","WRITE"
"author_Nicholas_E._Corrado","conf/rlc/CorradoQBLH24","True","WRITE"
"author_Yuxiao_Qu","conf/rlc/CorradoQBLH24","False","WRITE"
"author_John_U._Balis","conf/rlc/CorradoQBLH24","False","WRITE"
"author_Adam_Labiosa","conf/rlc/CorradoQBLH24","False","WRITE"
"author_Josiah_P._Hanna","conf/rlc/CorradoQBLH24","False","WRITE"
"author_Mark_Bedaywi","conf/rlc/BedaywiRF24","True","WRITE"
"author_Amin_Rakhsha","conf/rlc/BedaywiRF24","False","WRITE"
"author_Amir-massoud_Farahmand","conf/rlc/BedaywiRF24","False","WRITE"
"author_Trevor_McInroe","conf/rlc/McInroeJAS24","True","WRITE"
"author_Adam_Jelley","conf/rlc/McInroeJAS24","False","WRITE"
"author_Stefano_V._Albrecht","conf/rlc/McInroeJAS24","False","WRITE"
"author_Amos_J._Storkey","conf/rlc/McInroeJAS24","False","WRITE"
"author_Akansha_Kalra","conf/rlc/KalraB24","True","WRITE"
"author_Daniel_S._Brown","conf/rlc/KalraB24","False","WRITE"
"author_Tetsuro_Morimura","conf/rlc/MorimuraOAZ24","True","WRITE"
"author_Kazuhiro_Ota","conf/rlc/MorimuraOAZ24","False","WRITE"
"author_Kenshi_Abe","conf/rlc/MorimuraOAZ24","False","WRITE"
"author_Peinan_Zhang","conf/rlc/MorimuraOAZ24","False","WRITE"
"author_Linfeng_Zhao","conf/rlc/ZhaoW24","True","WRITE"
"author_Lawson_L._S._Wong","conf/rlc/ZhaoW24","False","WRITE"
"author_Bin_Hu","conf/rlc/HuZZZYX024","True","WRITE"
"author_Chenyang_Zhao","conf/rlc/HuZZZYX024","False","WRITE"
"author_Pu_Zhang","conf/rlc/HuZZZYX024","False","WRITE"
"author_Zihao_Zhou","conf/rlc/HuZZZYX024","False","WRITE"
"author_Yuanhang_Yang","conf/rlc/HuZZZYX024","False","WRITE"
"author_Zenglin_Xu","conf/rlc/HuZZZYX024","False","WRITE"
"author_Bin_Liu_0022","conf/rlc/HuZZZYX024","False","WRITE"
"author_Armin_Karamzade","conf/rlc/Karamzade0KF24","True","WRITE"
"author_Kyungmin_Kim_0002","conf/rlc/Karamzade0KF24","False","WRITE"
"author_Montek_Kalsi","conf/rlc/Karamzade0KF24","False","WRITE"
"author_Roy_Fox","conf/rlc/Karamzade0KF24","False","WRITE"
"author_Zhengfei_Zhang","conf/rlc/ZhangPSSWY24","True","WRITE"
"author_Kishan_Panaganti","conf/rlc/ZhangPSSWY24","False","WRITE"
"author_Laixi_Shi","conf/rlc/ZhangPSSWY24","False","WRITE"
"author_Yanan_Sui","conf/rlc/ZhangPSSWY24","False","WRITE"
"author_Adam_Wierman","conf/rlc/ZhangPSSWY24","False","WRITE"
"author_Yisong_Yue","conf/rlc/ZhangPSSWY24","False","WRITE"
"author_Jiayu_Yao","conf/rlc/YaoPDE24","True","WRITE"
"author_Weiwei_Pan","conf/rlc/YaoPDE24","False","WRITE"
"author_Finale_Doshi-Velez","conf/rlc/YaoPDE24","False","WRITE"
"author_Barbara_E._Engelhardt","conf/rlc/YaoPDE24","False","WRITE"
"author_Marcel_Hussing","conf/rlc/HussingVGFE24","True","WRITE"
"author_Claas_Voelcker","conf/rlc/HussingVGFE24","False","WRITE"
"author_Igor_Gilitschenski","conf/rlc/HussingVGFE24","False","WRITE"
"author_Amir-massoud_Farahmand","conf/rlc/HussingVGFE24","False","WRITE"
"author_Eric_Eaton","conf/rlc/HussingVGFE24","False","WRITE"
"author_Rahul_Madhavan","conf/rlc/MadhavanM0B24","True","WRITE"
"author_Aurghya_Maiti","conf/rlc/MadhavanM0B24","False","WRITE"
"author_Gaurav_Sinha_0001","conf/rlc/MadhavanM0B24","False","WRITE"
"author_Siddharth_Barman","conf/rlc/MadhavanM0B24","False","WRITE"
"author_Philipp_Wu","conf/rlc/WuHDMRA24","True","WRITE"
"author_Kourosh_Hakhamaneshi","conf/rlc/WuHDMRA24","False","WRITE"
"author_Yuqing_Du","conf/rlc/WuHDMRA24","False","WRITE"
"author_Igor_Mordatch","conf/rlc/WuHDMRA24","False","WRITE"
"author_Aravind_Rajeswaran","conf/rlc/WuHDMRA24","False","WRITE"
"author_Pieter_Abbeel","conf/rlc/WuHDMRA24","False","WRITE"
"author_Raphal_Avalos","conf/rlc/AvalosBNRO24","True","WRITE"
"author_Eugenio_Bargiacchi","conf/rlc/AvalosBNRO24","False","WRITE"
