entity,id,cluster,x,y
http://example.org/publication-ontology#author_Naa_Amponsah_Dodoo,1095,3,0.35140216,-0.038449824
http://example.org/publication-ontology#author_Nadav_Amir,1096,1,-0.3111115,-0.089818835
http://example.org/publication-ontology#author_Nan_Du_0002,1097,3,-0.057948217,-0.19224346
http://example.org/publication-ontology#author_Nan_Jiang_0008,1098,0,0.06294327,0.431885
http://example.org/publication-ontology#author_Nan_Jiang_0012,1099,1,-0.36673903,-0.014677227
http://example.org/publication-ontology#author_Anne-Kathrin_Schmuck,110,3,0.10766591,-0.032956123
http://example.org/publication-ontology#author_Naofal_Al-Dhahir,1100,3,0.1672476,-0.09263551
http://example.org/publication-ontology#author_Naohito_Nakasato,1101,3,0.15118353,-0.14476788
http://example.org/publication-ontology#author_Narciso_Garca,1102,1,-0.3173399,-0.0047699213
http://example.org/publication-ontology#author_Natacha_Portier,1103,1,-0.1005564,-0.077752054
http://example.org/publication-ontology#author_Natalia_Gennadievna_Churbanova,1104,3,0.27925077,-0.09781736
http://example.org/publication-ontology#author_Nataliia_A._Vaganova,1105,3,0.2560683,0.0072341263
http://example.org/publication-ontology#author_Natasa_Trkulja,1106,2,0.02328743,-0.013873577
http://example.org/publication-ontology#author_Nathan_Kallus,1107,1,-0.26808083,0.019627243
http://example.org/publication-ontology#author_Natsuhiro_Ichinose,1108,1,-0.11741492,-0.13013
http://example.org/publication-ontology#author_Naveen_Srinivasan,1109,1,-0.34085798,-0.040229917
http://example.org/publication-ontology#author_Anne_H._H._Ngu,111,1,-0.32705265,-0.120839
http://example.org/publication-ontology#author_Navneet_Goyal,1110,2,0.031147197,0.16181642
http://example.org/publication-ontology#author_Nele_Russwinkel,1111,2,-0.097029746,0.2682407
http://example.org/publication-ontology#author_Netty_van_Gasteren,1112,1,-0.14863081,-0.030260801
http://example.org/publication-ontology#author_Nicholas_E._Corrado,1113,1,-0.2758209,-0.09397799
http://example.org/publication-ontology#author_Nick_Alger,1114,2,0.028120153,0.1303803
http://example.org/publication-ontology#author_Nick_Bassiliades,1115,2,-0.03659308,0.046908587
http://example.org/publication-ontology#author_Nicklas_Hansen_0001,1116,1,-0.21931954,-0.046016216
http://example.org/publication-ontology#author_Nicola_Casagli,1117,3,0.1323687,-0.12036955
http://example.org/publication-ontology#author_Nicolas_Carion,1118,3,0.2988896,-0.10090977
http://example.org/publication-ontology#author_Nicolas_Courty,1119,3,0.18230216,-0.07507002
http://example.org/publication-ontology#author_Anne_Petrick,112,2,0.0056712776,0.10402882
http://example.org/publication-ontology#author_Nicolas_Matentzoglu,1120,2,0.046625823,0.16173786
http://example.org/publication-ontology#author_Nicolas_Thome,1121,1,-0.22882734,-0.07402712
http://example.org/publication-ontology#author_Nicolas_Wieseke,1122,3,0.27864176,-0.07545298
http://example.org/publication-ontology#author_Nicolau_C._Saldanha,1123,3,0.17327538,-0.08548546
http://example.org/publication-ontology#author_Nikolaos_V._Sahinidis,1124,1,-0.109678,-0.105553925
http://example.org/publication-ontology#author_Nikos_Fotiou,1125,3,0.08393311,-0.119561434
http://example.org/publication-ontology#author_Nilavra_Pathak,1126,3,0.06741963,-0.07405418
http://example.org/publication-ontology#author_Ning_Wang,1127,2,0.16564727,0.11385146
http://example.org/publication-ontology#author_Ning_Zhang,1128,3,0.27953106,-0.1731121
http://example.org/publication-ontology#author_Nir_Lipovetzky,1129,3,0.24201155,-0.054647744
http://example.org/publication-ontology#author_Ante_Siljeg,113,2,0.017207153,0.22091931
http://example.org/publication-ontology#author_Nirmalya_Roy,1130,3,0.10961862,-0.027756214
http://example.org/publication-ontology#author_Nisar_R._Ahmed,1131,3,0.18455225,-0.08477938
http://example.org/publication-ontology#author_Nitin_H._Vaidya,1132,2,0.022175848,0.107480764
http://example.org/publication-ontology#author_Noah_Golowich,1133,1,-0.26298243,0.018691927
http://example.org/publication-ontology#author_Nomi_L._Harris,1134,2,0.05006016,-0.0045313835
http://example.org/publication-ontology#author_Norihiro_Maruyama,1135,3,0.22596577,-0.11437684
http://example.org/publication-ontology#author_Norimitsu_Sakagami,1136,3,0.30192173,-0.08260965
http://example.org/publication-ontology#author_Norman_Kranich,1137,2,0.07415512,0.07625744
http://example.org/publication-ontology#author_Nozomi_Nishimura,1138,2,0.11997691,0.04489094
http://example.org/publication-ontology#author_Nuria_Ramn,1139,3,0.20485315,-0.0005275011
http://example.org/publication-ontology#author_Anthony_A._Maciejewski,114,3,0.20468417,-0.17524254
http://example.org/publication-ontology#author_Nusrat_Mohi_ud_din,1140,3,0.13590278,-0.16533983
http://example.org/publication-ontology#author_Odalric-Ambrym_Maillard,1141,1,-0.19083689,-0.055931747
http://example.org/publication-ontology#author_Oleksandr_Miroshkin,1142,3,0.22096568,-0.008821368
http://example.org/publication-ontology#author_Olga_Vechtomova,1143,3,0.24353203,-0.094480276
http://example.org/publication-ontology#author_Oliver_Jrnefelt,1144,1,-0.35272914,-0.071581304
