entity,id,cluster,x,y
http://example.org/publication-ontology#author_Alessandro_Farinelli,57,2,-0.28977725,-0.0068103075
http://example.org/publication-ontology#author_Alessandro_Vespignani,58,2,-0.08983145,-0.17994118
http://example.org/publication-ontology#author_Alex_Ayoub,59,2,-0.36986893,-0.024544895
http://example.org/publication-ontology#author_Alex_Bewley,60,3,0.30274642,-0.08929807
http://example.org/publication-ontology#author_Alexander_Levine_0001,61,2,-0.33831796,-0.035211444
http://example.org/publication-ontology#author_Alexandre_Arnold,62,0,0.018096566,0.19861579
http://example.org/publication-ontology#author_Alexandre_Decan,63,3,0.21221608,-0.13896763
http://example.org/publication-ontology#author_Alexei_Vzquez,64,2,-0.072744824,-0.15226287
http://example.org/publication-ontology#author_Alexis_E._Block,65,3,-0.0044837147,-0.12648714
http://example.org/publication-ontology#author_Alfred_Godley,66,3,0.33255678,-0.03897643
http://example.org/publication-ontology#author_Ali_Miri,67,3,0.09235656,-0.098348975
http://example.org/publication-ontology#author_Alin_Albu-Schffer,68,2,-0.23144454,-0.08607209
http://example.org/publication-ontology#author_Alina_Langenhagen,69,0,0.11025781,-0.0054655075
http://example.org/publication-ontology#author_Alireza_Sadeghi,70,3,0.060227964,-0.041545928
http://example.org/publication-ontology#author_Alkis_Kalavasis,71,0,0.037967816,0.13276142
http://example.org/publication-ontology#author_Allan_D._Jepson,72,3,0.19603801,-0.043724
http://example.org/publication-ontology#author_Allan_Zhou,73,2,-0.34706149,-0.09859145
http://example.org/publication-ontology#author_Allen_B._MacKenzie,74,3,0.22477603,-0.07331562
http://example.org/publication-ontology#author_Ameet_Talwalkar,75,0,-0.056028523,0.048059493
http://example.org/publication-ontology#author_Amin_Rakhsha,76,0,-0.09649622,0.15879631
http://example.org/publication-ontology#author_Amir-massoud_Farahmand,77,2,-0.34325993,0.016668886
http://example.org/publication-ontology#author_Amir_Daneshvar,78,3,0.03970313,-0.10603088
http://example.org/publication-ontology#author_Amos_J._Storkey,79,2,-0.32559836,-0.045571744
http://example.org/publication-ontology#author_Amr_Magdy_Rabee,80,3,0.083994344,-0.16237056
http://example.org/publication-ontology#author_Amy_Zhang_0001,81,2,-0.15270728,-0.06416136
http://example.org/publication-ontology#author_Anant_Raj,82,2,-0.32309455,0.06809938
http://example.org/publication-ontology#author_Anas_Mazid,83,3,0.2827147,-0.13530004
http://example.org/publication-ontology#author_Anatoliy_A._Platonov,84,3,0.1817635,-0.05240971
http://example.org/publication-ontology#author_Anay_Mehrotra,85,0,0.17346725,0.10070872
http://example.org/publication-ontology#author_Andoni_Rodrguez,86,2,-0.29047585,0.014750838
http://example.org/publication-ontology#author_Andr_Biedenkapp,87,2,-0.2332409,0.066979796
http://example.org/publication-ontology#author_Andr_Twele,88,2,-0.07835884,-0.100123644
http://example.org/publication-ontology#author_Andrea_Lanzi,89,0,0.10262871,0.07739493
http://example.org/publication-ontology#author_Andreas_Bye,90,2,-0.088649355,-0.07598263
http://example.org/publication-ontology#author_Andreas_K._Maier,91,0,0.12611337,0.024909943
http://example.org/publication-ontology#author_Andreas_Knopp,92,3,0.13948847,-0.17884308
http://example.org/publication-ontology#author_Andrew_Grant,93,2,-0.32009944,-0.065731466
http://example.org/publication-ontology#author_Andrew_L._Johnson,94,2,-0.096038155,-0.19788438
http://example.org/publication-ontology#author_Andrew_M._Dai,95,0,-0.051515482,-0.06214547
http://example.org/publication-ontology#author_Andrew_Patterson,96,2,-0.33303872,-0.039621234
http://example.org/publication-ontology#author_Andrew_Suk,97,3,0.18557462,0.006948203
http://example.org/publication-ontology#author_Andrs_Gyrgy_0001,98,2,-0.3547788,-0.029419899
http://example.org/publication-ontology#author_Andrzej_Cichocki,99,2,-0.19751164,0.08313644
http://example.org/publication-ontology#author_Ang_Bian,100,3,0.2748699,0.109610856
