"id:ID","name",":LABEL"
"author_Alberto_Maria_Metelli","Alberto Maria Metelli","Author"
"author_Marcello_Restelli","Marcello Restelli","Author"
"author_Davide_Corsi","Davide Corsi","Author"
"author_Guy_Amir","Guy Amir","Author"
"author_Andoni_Rodrguez","Andoni Rodrguez","Author"
"author_Guy_Katz","Guy Katz","Author"
"author_Csar_Snchez_0001","Csar Snchez 0001","Author"
"author_Roy_Fox","Roy Fox","Author"
"author_Kevin_Tan","Kevin Tan","Author"
"author_Ziping_Xu","Ziping Xu","Author"
"author_Kris_De_Asis","Kris De Asis","Author"
"author_Richard_S._Sutton","Richard S. Sutton","Author"
"author_Wanqiao_Xu","Wanqiao Xu","Author"
"author_Shi_Dong_0003","Shi Dong 0003","Author"
"author_Benjamin_Van_Roy","Benjamin Van Roy","Author"
"author_Georgy_Antonov","Georgy Antonov","Author"
"author_Peter_Dayan","Peter Dayan","Author"
"author_Julian_Dierkes","Julian Dierkes","Author"
"author_Holger_H._Hoos","Holger H. Hoos","Author"
"author_Sai_Prasanna","Sai Prasanna","Author"
"author_Karim_Farid","Karim Farid","Author"
"author_Raghu_Rajan","Raghu Rajan","Author"
"author_Andr_Biedenkapp","Andr Biedenkapp","Author"
"author_Jeremy_McMahan","Jeremy McMahan","Author"
"author_Young_Wu","Young Wu","Author"
"author_Yudong_Chen_0001","Yudong Chen 0001","Author"
"author_Jerry_Zhu","Jerry Zhu","Author"
"author_Khurram_Javed","Khurram Javed","Author"
"author_Arsalan_Sharifnassab","Arsalan Sharifnassab","Author"
"author_Daphne_Cornelisse","Daphne Cornelisse","Author"
"author_Eugene_Vinitsky","Eugene Vinitsky","Author"
"author_Abhishek_Naik","Abhishek Naik","Author"
"author_Yi_Wan_0004","Yi Wan 0004","Author"
"author_Manan_Tomar","Manan Tomar","Author"
"author_Milad_Aghajohari","Milad Aghajohari","Author"
"author_Tim_Cooijmans","Tim Cooijmans","Author"
"author_Juan_Agustin_Duque","Juan Agustin Duque","Author"
"author_Shunichi_Akatsuka","Shunichi Akatsuka","Author"
"author_Aaron_C._Courville","Aaron C. Courville","Author"
"author_Marin_Vlastelica","Marin Vlastelica","Author"
